epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,611.963,1.29992,0.67427,0.53277,0.94388,1.87304,0.91957,0.77778,0.82543,0.50231,0.91957,0.77778,0.89731,0.65222,1.58511,1.09709,0.51096,1.23815,2.32169,0.0014852,0.0014852,0.0014852
28,631.319,1.18872,0.72034,0.51393,0.9236,1.79451,0.93552,0.80692,0.82802,0.49755,0.93552,0.80692,0.894,0.67283,1.50204,1.00777,0.49654,1.25241,2.22151,0.0014654,0.0014654,0.0014654
29,655.329,1.18602,0.61046,0.49871,0.93576,1.71414,0.84835,0.77778,0.78127,0.47912,0.90957,0.83333,0.89553,0.67377,1.51321,0.90242,0.51745,1.26493,2.33647,0.0014456,0.0014456,0.0014456
30,689.636,1.29873,0.72189,0.53981,0.91985,1.91305,0.92415,0.72222,0.80116,0.52281,0.9441,0.93867,0.93161,0.6943,1.43238,0.94142,0.53722,1.17996,2.28678,0.0014258,0.0014258,0.0014258
31,719.323,1.08308,0.59526,0.5087,0.83621,1.57069,0.84864,0.77778,0.782,0.48143,0.86226,0.94444,0.91582,0.65682,1.54709,0.97713,0.58245,1.27331,2.42518,0.001406,0.001406,0.001406
32,749.929,1.24535,0.77207,0.47965,0.95148,1.81633,0.8411,0.72222,0.75917,0.45859,0.93713,0.82835,0.89634,0.6621,1.56014,1.15076,0.67187,1.1798,2.51354,0.0013862,0.0013862,0.0013862
33,774.925,1.10712,0.62896,0.47834,0.82204,1.65694,0.85432,0.72222,0.76971,0.46035,0.84801,0.88889,0.88059,0.69139,1.70222,0.85693,0.6767,1.16906,2.644,0.0013664,0.0013664,0.0013664
34,802.19,1.11386,0.67959,0.48843,0.89482,1.68696,0.77591,0.77778,0.74872,0.47058,0.75111,0.88889,0.84143,0.66754,1.64885,0.77956,0.86404,1.16191,2.57076,0.0013466,0.0013466,0.0013466
35,845.518,1.04491,0.58774,0.46225,0.75912,1.61818,0.91086,0.72222,0.81672,0.47165,0.79969,0.83333,0.88696,0.69146,1.56696,0.7039,0.9855,1.11434,2.56821,0.0013268,0.0013268,0.0013268
36,877.646,1.18875,0.68765,0.46862,0.94182,1.81846,0.83995,0.66667,0.75655,0.48476,0.81516,0.83333,0.86924,0.74446,1.4577,0.59165,0.70275,1.16771,2.46331,0.001307,0.001307,0.001307
37,909.058,0.97893,0.50648,0.46227,0.79484,1.6154,0.88124,0.66667,0.76408,0.49293,0.8511,0.83333,0.85107,0.75232,1.36424,0.5619,0.53974,1.06624,2.32708,0.0012872,0.0012872,0.0012872
38,938.452,1.06686,0.46522,0.42954,0.80772,1.66736,0.90818,0.66667,0.74142,0.47612,0.77168,0.93908,0.85562,0.72693,1.50089,0.6273,0.48741,1.054,2.51698,0.0012674,0.0012674,0.0012674
39,963.805,1.02823,0.58613,0.45455,0.77157,1.64933,0.92669,0.70318,0.78328,0.48541,0.9245,0.83333,0.87542,0.70789,1.49946,0.72449,0.57312,0.99715,2.47003,0.0012476,0.0012476,0.0012476
40,1006.83,1.00616,0.51142,0.39256,0.8352,1.59612,0.88851,0.77778,0.8268,0.51951,0.92749,0.83333,0.88835,0.7067,1.42154,0.71174,0.56633,0.93362,2.39723,0.0012278,0.0012278,0.0012278
41,1037.32,0.99855,0.38784,0.41793,0.77439,1.5906,0.90903,0.66667,0.74464,0.48926,0.75724,0.94444,0.88718,0.75879,1.50572,0.58914,0.46882,0.96973,2.48012,0.001208,0.001208,0.001208
42,1062,1.01507,0.47911,0.40065,0.75868,1.63132,0.92773,0.7137,0.74712,0.45461,0.83982,0.87443,0.88892,0.79084,1.81383,0.50601,0.36923,1.00709,2.95195,0.0011882,0.0011882,0.0011882
43,1083.32,1.01361,0.44749,0.43303,0.74365,1.61912,0.78995,0.88889,0.82095,0.44202,0.84026,0.94444,0.88803,0.81378,2.02244,0.41357,0.27686,1.10037,3.42298,0.0011684,0.0011684,0.0011684
44,1106.58,1.05597,0.45557,0.41949,0.79314,1.66993,0.83181,0.82468,0.81669,0.48746,0.85542,0.88889,0.89883,0.81681,1.85078,0.47302,0.32271,1.08937,3.06981,0.0011486,0.0011486,0.0011486
